// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

// Wedding Related items
673,493,100	// Copper_Coin
12485,475,100	// Attend_25Day_Box
12486,475,100	// GoldPC_First_Box
12487,475,100	// PC_4Leaf_Clover_Box
12492,475,100	// Crumpled_Paper
12493,475,100	// Lucky_Egg_C4
12529,475,100	// White_Slim_Potion_Box
12530,475,100	// Mastela_Fruit_Box
12531,475,100	// White_Potion_Box
12532,475,100	// Royal_Jelly_Box2
12533,475,100	// Blue_Herb_Box2
12534,475,100	// Yggdrasil_Seed_Box
12535,475,100	// Iggdrasilberry_Box
12540,499,100	// GM_Warp_Box
12541,499,100	// Fortune_Cookie1
12542,499,100	// Fortune_Cookie2
12543,499,100	// Fortune_Cookie3
12549,475,100	// White_Slim_Pot_Box2
12550,475,100	// Poison_Bottle_Box2
12714,467,100	// Easter_Scroll
12900,457,100	// Battle_Manual_Box1
12901,457,100	// Insurance_Package
12902,457,100	// Bubble_Gum_Box
12903,457,100	// Str_Dish_Box
12904,457,100	// Agi_Dish_Box
12905,457,100	// Int_Dish_Box
12906,457,100	// Dex_Dish_Box
12907,457,100	// Luk_Dish_Box
12908,457,100	// Vit_Dish_Box
12909,457,100	// Kafra_Card_Box
12910,457,100	// Giant_Fly_Wing_Box
12911,457,100	// Neuralizer_Box
12912,457,100	// Convex_Mirror_Box
12913,457,100	// Blessing_10_Scroll_Box
12914,457,100	// Inc_Agi_10_Scroll_Box
12915,457,100	// Aspersio_5_Scroll_Box
12916,457,100	// Assumptio_5_Scroll_Box
12917,457,100	// Wind_Walk_10_Scroll_Box
12918,457,100	// Adrenaline_Scroll_Box
12919,457,100	// Megaphone_Box
12920,457,100	// Enriched_Elunium_Box
12921,457,100	// Enriched_Oridecon_Box
12922,457,100	// Token_Of_Siegfried_Box
12923,457,100	// Pet_Egg_Scroll_Box1
12924,457,100	// Pet_Egg_Scroll_Box2
12925,475,100	// Pet_Egg_Scroll1
12926,475,100	// Pet_Egg_Scroll2
12928,475,100	// J_Aspersio_5_Scroll
12929,457,100	// Pet_Egg_Scroll_Box3
12930,457,100	// Pet_Egg_Scroll_Box4
12931,457,100	// Pet_Egg_Scroll_Box5
12932,475,100	// Pet_Egg_Scroll3
12933,475,100	// Pet_Egg_Scroll4
12934,475,100	// Pet_Egg_Scroll5
12935,473,100	// Infiltrator_Box
12936,473,100	// Muramasa_Box
12937,473,100	// Excalibur_Box
12938,473,100	// Combat_Knife_Box
12939,473,100	// Counter_Dagger_Box
12940,473,100	// Kaiser_Knuckle_Box
12941,473,100	// Pole_Axe_Box
12942,473,100	// Mighty_Staff_Box
12943,473,100	// Right_Epsilon_Box
12944,473,100	// Balistar_Box
12945,473,100	// Diary_Of_Great_Sage_Box
12946,473,100	// Asura_Box
12947,473,100	// Apple_Of_Archer_Box
12948,473,100	// Bunny_Band_Box
12949,473,100	// Sahkkat_Box
12950,473,100	// Lord_Circlet_Box
12951,473,100	// Elven_Ears_Box
12952,473,100	// Steel_Flower_Box
12953,473,100	// Critical_Ring_Box
12954,473,100	// Earring_Box
12955,473,100	// Ring_Box
12956,473,100	// Necklace_Box
12957,473,100	// Glove_Box
12958,473,100	// Brooch_Box
12959,473,100	// Rosary_Box
12960,473,100	// Safety_Ring_Box
12961,473,100	// Vesper_Core01_Box
12962,473,100	// Vesper_Core02_Box
12963,473,100	// Vesper_Core03_Box
12964,473,100	// Vesper_Core04_Box
12983,457,100	// Pet_Egg_Scroll_Box6
12984,457,100	// Pet_Egg_Scroll_Box7
12985,457,100	// Pet_Egg_Scroll_Box8
12986,457,100	// Pet_Egg_Scroll_Box9
12987,457,100	// Pet_Egg_Scroll_Box10
12988,457,100	// Pet_Egg_Scroll_Box11
12989,475,100	// Pet_Egg_Scroll6
12990,475,100	// Pet_Egg_Scroll7
12991,475,100	// Pet_Egg_Scroll8
12992,475,100	// Pet_Egg_Scroll9
12993,475,100	// Pet_Egg_Scroll10
12994,475,100	// Pet_Egg_Scroll11
13021,507,100	// Combat_Knife_C
13022,507,100	// Counter_Dagger_C
13023,507,100	// Asura_C
13048,507,100	// Damascus_C
13175,507,100	// Lever_Action_Rifle_C
13309,507,100	// Huuma_Giant_Wheel_C
13401,507,100	// Excalibur_C
13419,507,100	// Holy_Saber
13422,507,100	// Flamberge_C
13525,73,100	// Zeny_Scroll_Box
13547,73,100	// Repair_Scroll_Box
13553,73,100	// Dun_Tele_Scroll1_Box
13689,475,100	// Bok_Choy_Box
13690,475,100	// Chung_E_Cake_Box
13696,457,100	// Battle_Manual100_Box
13704,73,100	// Super_Pet_Egg5
13705,73,100	// Super_Pet_Egg6
13706,73,100	// Super_Pet_Egg7
13707,73,100	// Super_Pet_Egg8
13710,73,100	// Max_Weight_Up_Box
13711,73,100	// Small_Life_Potion_Box
13712,73,100	// Small_Life_Potion_Box30
13713,73,100	// Small_Life_Potion_Box50
13714,73,100	// Med_Life_Potion_Box
13715,73,100	// Med_Life_Potion_Box30
13716,73,100	// Med_Life_Potion_Box50
13717,73,100	// Abrasive_Box5
13718,73,100	// Abrasive_Box10
13719,73,100	// Regeneration_Box5
13720,73,100	// Regeneration_Box10
13721,73,100	// Dun_Tele_Scroll_Box10
13738,73,100	// Glass_Of_Illusion_Box5
13739,73,100	// Glass_Of_Illusion_Box10
13740,73,100	// Shadow_Armor_S_Box5
13741,73,100	// Shadow_Armor_S_Box10
13742,73,100	// Shadow_Armor_S_Box30
13743,73,100	// Holy_Armor_S_Box5
13744,73,100	// Holy_Armor_S_Box10
13745,73,100	// Holy_Armor_S_Box30
13746,73,100	// S_Def_Potion_Box10
13747,73,100	// S_Def_Potion_Box30
13748,73,100	// S_Def_Potion_Box50
13749,73,100	// B_Def_Potion_Box10
13750,73,100	// B_Def_Potion_Box30
13751,73,100	// B_Def_Potion_Box50
13752,73,100	// S_Mdef_Potion_Box10
13753,73,100	// S_Mdef_Potion_Box30
13754,73,100	// S_Mdef_Potion_Box50
13755,73,100	// B_Mdef_Potion_Box10
13756,73,100	// B_Mdef_Potion_Box30
13757,73,100	// B_Mdef_Potion_Box50
13765,507,100	// Certificate_TW_Box
13815,73,100	// Knife_Goblin_Box
13816,73,100	// Flail_Goblin_Box
13817,73,100	// Hammer_Goblin_Box
13818,73,100	// Red_Deleter_Box
13819,73,100	// Diabolic_Box
13820,73,100	// Wanderer_Box
13821,73,100	// Green_Apple_Box
13822,73,100	// Whole_Barbecue_Box
13823,73,100	// Meat_Veg_Skewer_Box
13824,73,100	// Spirit_Liquor_Box
13859,499,100	// Directive_A_Envelope
13860,499,100	// Directive_B_Envelope
13863,475,100	// Repair_Scroll_Box10
13866,475,100	// Flying_Angel_Box
13867,475,100	// Neko_Mimi_Box
13868,475,100	// MFH_Box
13869,475,100	// Chick_Hat_Box
13870,475,100	// New_Style_Box
13871,475,100	// Magician_Card_Box
13872,475,100	// Acolyte_Card_Box
13873,475,100	// Archer_Card_Box
13874,475,100	// Swordman_Card_Box
13875,475,100	// Thief_Card_Box
13876,475,100	// Merchant_Card_Box
13877,475,100	// Clock_Tower_Card_Box
13878,475,100	// Geffenia_Card_Box
13879,475,100	// Owl_Card_Box
13880,475,100	// Ghost_Card_Box
13881,475,100	// Nightmare_Card_Box
13882,475,100	// Curse_Card_Box
13883,475,100	// Sleep_Card_Box
13884,475,100	// Freeze_Card_Box
13885,475,100	// Stun_Card_Box
13886,475,100	// Silence_Card_Box
13887,475,100	// Blind_Card_Box
13888,475,100	// Chaos_Card_Box
13889,475,100	// Elunium_Box_
13890,475,100	// Oridecon_Box_
13891,475,100	// Fire_Converter_Box
13892,475,100	// Water_Converter_Box
13893,475,100	// Wind_Converter_Box
13894,475,100	// Earth_Converter_Box
13895,475,100	// Starter_Pack
13896,73,100	// Mimic_Summon_Box5
13897,73,100	// Disguise_Summon_Box5
13898,73,100	// Alice_Summon_Box5
13899,73,100	// Mimic_Summon_Box10
13900,73,100	// Disguise_Summon_Box10
13901,73,100	// Alice_Summon_Box10
13902,475,100	// Fish_Head_Hat_Box
13903,475,100	// Santa_Poring_Hat_Box
13904,475,100	// Bell_Ribbon_Box
13905,475,100	// Hard_Core_Set_Box
13906,475,100	// Kitty_Set_Box
13907,475,100	// Soft_Core_Set_Box
13908,475,100	// Deviruchi_Set_Box
13909,475,100	// MVP_Hunt_Box
13910,475,100	// Brewing_Box
13911,475,100	// Xmas_Pet_Scroll
13912,73,100	// Party_Blessing_Box
13913,73,100	// Party_Inc_Agi_Box
13914,73,100	// Party_Assumptio_Box
13915,475,100	// Love_Angel_Box
13916,475,100	// Squirrel_Box
13917,475,100	// Gogo_Box
13926,475,100	// Crusader_Card_Box
13927,475,100	// Alchemist_Card_Box
13928,475,100	// Rogue_Card_Box
13929,475,100	// Bard_Dancer_Card_Box
13930,475,100	// Sage_Card_Box
13931,475,100	// Monk_Card_Box
13932,475,100	// Sylph_Box
13933,475,100	// Undine_Box
13934,475,100	// Salamander_Box
13935,475,100	// Soul_Box
13936,475,100	// Noum_Bpx
13937,475,100	// Robo_Eye_Box
13938,475,100	// Twin_Ribbon_Box
13940,475,100	// Siege_Tele_Scroll_Box
13941,475,100	// Valentine_Scroll_TW
13942,475,100	// Love_Angel_Box_1m
13943,475,100	// Squirrel_Box_1m
13944,475,100	// Gogo_Box_1m
13945,475,100	// Br_SwordPackage
13946,475,100	// Br_MagePackage
13947,475,100	// Br_AcolPackage
13948,475,100	// Br_ArcherPackage
13949,475,100	// Br_MerPackage
13950,475,100	// Br_ThiefPackage
13951,475,100	// Wasteland_Outlaw_Box
13952,475,100	// Lever_Action_Rifle_Box
13953,475,100	// All_In_One_Ring_Box
13954,475,100	// Spiritual_Tunic_Box
13955,475,100	// Recuperative_Armor_Box
13956,475,100	// Shelter_Resistance_Box
13957,475,100	// Sylphid_Manteau_Box
13958,475,100	// Refresh_Shoes_Box
13959,475,100	// Toast_Box
13960,475,100	// Name_Change_Coupon_Box
13961,475,100	// Mojji_Box
13962,475,100	// Deprotai_Doll_Hat_Box
13963,475,100	// Claris_Doll_Hat_Box
13964,475,100	// Sorin_Doll_Hat_Box
13965,475,100	// Tayelin_Doll_Hat_Box
13966,475,100	// Binit_Doll_Hat_Box
13967,475,100	// Debril_Doll_Hat_Box
13970,475,100	// Iron_10_Box
13971,475,100	// Steel_10_Box
13972,475,100	// Coal_10_Box
13973,475,100	// Poison_Bottle_30_Box
13974,475,100	// TW_Scroll01
13975,475,100	// Picture_Diary_Box
13976,475,100	// Mini_Heart_Box
13977,475,100	// Newcomer_Box
13978,475,100	// Kid_Box
13979,475,100	// Magic_Castle_Box
13980,475,100	// Bulging_Head_Box
13981,475,100	// Picture_Diary_Box_1m
13982,475,100	// Mini_Heart_Box_1m
13983,475,100	// Newcomer_Box_1m
13984,475,100	// Kid_Box_1m
13985,475,100	// Magic_Castle_Box_1m
13986,475,100	// Bulging_Head_Box_1m
13987,475,100	// Ori_Stone_5_Box
13988,475,100	// Ori_Stone_50_Box
13989,475,100	// Acidbomb_10_Box
13990,475,100	// Job_Manual_Box
13991,475,100	// Tiger_Mask_Box
13992,475,100	// Cat_Hat_Box
13993,475,100	// Alice_Doll_Box
13994,475,100	// Speed_Up_Potion_Box5
13995,475,100	// Speed_Up_Potion_Box10
13996,475,100	// Big_Bun_Box100
13997,475,100	// Big_Bun_Box500
13998,475,100	// Giant_Fly_Wing_Box500
13999,475,100	// Pill__Box100
14000,475,100	// Pill__Box500
14001,457,100	// Basic_Siege_Supply_Box
14002,457,100	// Adv_Siege_Supply_Box
14003,457,100	// Elite_Siege_Supply_Box
14004,475,100	// Poison_Bottle_10_Box
14005,475,100	// Poison_Bottle_5_Box
14006,475,100	// F_Drooping_W_Kitty_Box
14007,475,100	// F_Rabbit_Ear_Hat_Box
14008,475,100	// F_L_Orc_Hero_Helm_Box
14009,475,100	// F_Love_Angel_Box
14010,475,100	// F_Squirrel_Box
14011,475,100	// F_Gogo_Box
14012,475,100	// F_Love_Angel_Box_1m
14013,475,100	// F_Squirrel_Box_1m
14014,475,100	// F_Gogo_Box_1m
14015,475,100	// F_Wasteland_Outlaw_Box
14016,475,100	// F_Lever_Action_Rifle_Box
14017,475,100	// F_All_In_One_Ring_Box
14018,475,100	// F_Spritual_Tunic_Box
14019,475,100	// F_Recuperative_Box
14020,475,100	// F_Shelter_Resist_Box
14021,475,100	// F_Sylphid_Manteau_Box
14022,475,100	// F_Refresh_Shoes_Box
14023,475,100	// F_Toast_Box
14024,475,100	// F_Robo_Eye_Box
14025,475,100	// F_Twin_Ribbon_Box
14027,475,100	// F_Fish_Head_Hat_Box
14028,475,100	// F_Santa_Poring_Hat_Box
14029,475,100	// F_Bell_Ribbon_Box
14030,475,100	// F_Mimic_Scroll_Box5
14031,475,100	// F_Disguise_Scroll_Box5
14032,475,100	// F_Alice_Scroll_Box5
14033,475,100	// F_Mimic_Scroll_Box10
14034,475,100	// F_Disguise_Scroll_Box10
14035,475,100	// F_Alice_Scroll_Box10
14036,475,100	// F_New_Style_Coupon_Box
14037,475,100	// F_Repair_Scroll_Box
14038,475,100	// F_Repair_Scroll_Box10
14041,475,100	// F_WOB_Rune_Box5
14042,475,100	// F_WOB_Rune_Box10
14043,475,100	// F_WOB_Schwaltz_Box5
14044,475,100	// F_WOB_Schwaltz_Box10
14045,475,100	// F_WOB_Rachel_Box5
14046,475,100	// F_WOB_Rachel_Box10
14047,475,100	// F_WOB_Local_Box5
14048,475,100	// F_WOB_Local_Box10
14049,475,100	// F_Spark_Candy_Box5
14050,475,100	// F_Spark_Candy_Box10
14051,475,100	// F_Dun_Tel_Scroll2_Box5
14052,475,100	// F_Dun_Tel_Scroll2_Box10
14053,475,100	// F_Little_Angel_Doll_Box
14054,475,100	// F_Triple_Poring_Hat_Box
14055,475,100	// F_Nagan_Box
14056,475,100	// F_Skewer_Box
14057,475,100	// F_Survival_Rod_Box
14058,475,100	// F_Quadrille_Box
14059,475,100	// F_Great_Axe_Box
14060,475,100	// F_Bloody_Roar_Box
14061,475,100	// F_Hardback_Box
14062,475,100	// F_Fire_Brand_Box
14063,475,100	// F_Immaterial_Sword_Box
14064,475,100	// F_Unholy_Touch_Box
14065,475,100	// F_Clack_Of_Servival_Box
14066,475,100	// F_Masquerade_Box
14067,475,100	// F_Orc_Hero_Helm_Box
14068,475,100	// F_Ear_Of_Devil_Wing_Box
14069,475,100	// F_Dark_Blindfold_Box
14070,475,100	// F_K_Drooping_Kitty_Box
14071,475,100	// F_Corsair_Box
14072,475,100	// F_Bloody_Iron_Ball_Box
14073,475,100	// F_Spiritual_Ring_Box
14074,475,100	// F_G_O_I_Box5
14075,475,100	// F_G_O_I_Box10
14076,475,100	// F_Shadow_Armor_S_Box5
14077,475,100	// F_Shadow_Armor_S_Box10
14078,475,100	// F_Shadow_Armor_S_Box30
14079,475,100	// F_Holy_Armor_S_Box5
14080,475,100	// F_Holy_Armor_S_Box10
14081,475,100	// F_Holy_Armor_S_Box30
14082,475,100	// FS_Def_Potion_Box10
14083,475,100	// FS_Def_Potion_Box30
14084,475,100	// FS_Def_Potion_Box50
14085,475,100	// FB_Def_Potion_Box10
14086,475,100	// FB_Def_Potion_Box30
14087,475,100	// FB_Def_Potion_Box50
14088,475,100	// FS_Mdef_Potion_Box10
14089,475,100	// FS_Mdef_Potion_Box30
14090,475,100	// FS_Mdef_Potion_Box50
14091,475,100	// FB_Mdef_Potion_Box10
14092,475,100	// FB_Mdef_Potion_Box30
14093,475,100	// FB_Mdef_Potion_Box50
14094,475,100	// F_Flying_Angel_Box
14095,475,100	// F_Cat_Hat_Box
14096,475,100	// F_M_F_H_Box
14097,475,100	// F_Chick_Hat_Box
14098,475,100	// F_Pecopeco_Hairband_Box
14099,475,100	// F_Red_Glasses_Box
14100,475,100	// F_Whisper_Mask_Box
14101,475,100	// F_Ramen_Hat_Box
14102,475,100	// F_Dun_Tele_Scroll1_Box
14103,475,100	// F_Max_Weight_Up_Box
14104,475,100	// F_S_Life_Potion_Box
14105,475,100	// F_S_Life_Potion_Box30
14106,475,100	// F_S_Life_Potion_Box50
14107,475,100	// F_M_Life_Potion_Box
14108,475,100	// F_M_Life_Potion_Box30
14109,475,100	// F_M_Life_Potion_Box50
14110,475,100	// F_Abrasive_Box5
14111,475,100	// F_Abrasive_Box10
14112,475,100	// F_Regeneration_Box5
14113,475,100	// F_Regeneration_Box10
14114,475,100	// F_Dun_Tele_Scroll_Box10
14115,475,100	// F_Infiltrator_Box
14116,475,100	// F_Muramasa_Box
14117,475,100	// F_Excalibur_Box
14118,475,100	// F_Combat_Knife_Box
14119,475,100	// F_Counter_Dagger_Box
14120,475,100	// F_Kaiser_Knuckle_Box
14121,475,100	// F_Mighty_Staff_Box
14122,475,100	// F_Right_Epsilon_Box
14123,475,100	// F_Balistar_Box
14124,475,100	// F_Diary_Of_Great_Sage
14125,475,100	// F_Asura_Box
14126,475,100	// F_Apple_Of_Archer_Box
14127,475,100	// F_Bunny_Band_Box
14128,475,100	// F_Sahkkat_Box
14129,475,100	// F_Lord_Circlet_Box
14130,475,100	// F_Elven_Ears_Box
14131,475,100	// F_Steel_Flower_Box
14132,475,100	// F_Critical_Ring_Box
14133,475,100	// F_Earring_Box
14134,475,100	// F_Ring_Box
14135,475,100	// F_Necklace_Box
14136,475,100	// F_Glove_Box
14137,475,100	// F_Brooch_Box
14138,475,100	// F_Rosary_Box
14139,475,100	// F_Safety_Ring_Box
14140,475,100	// F_Vesper_Core_Box01
14141,475,100	// F_Vesper_Core_Box02
14142,475,100	// F_Vesper_Core_Box03
14143,475,100	// F_Vesper_Core_Box04
14144,475,100	// F_Vigorgra_Package1
14145,475,100	// F_Vigorgra_Package2
14146,475,100	// F_Vigorgra_Package3
14147,475,100	// F_Vigorgra_Package4
14148,475,100	// F_Vigorgra_Package5
14149,475,100	// F_Vigorgra_Package6
14150,475,100	// F_Vigorgra_Package7
14151,475,100	// F_Vigorgra_Package8
14152,475,100	// F_Vigorgra_Package9
14153,475,100	// F_Vigorgra_Package10
14154,475,100	// F_Vigorgra_Package11
14155,475,100	// F_Vigorgra_Package12
14156,475,100	// F_Battle_Manual_Box
14157,475,100	// F_Insurance_Package
14158,475,100	// F_Bubble_Gum_Box
14159,475,100	// F_Str_Dish_Box
14160,475,100	// F_Agi_Dish_Box
14161,475,100	// F_Int_Dish_Box
14162,475,100	// F_Dex_Dish_Box
14163,475,100	// F_Luk_Dish_Box
14164,475,100	// F_Vit_Dish_Box
14165,475,100	// F_Kafra_Card_Box
14166,475,100	// F_Giant_Fly_Wing_Box
14167,475,100	// F_Neuralizer_Box
14168,475,100	// F_Convex_Mirror_Box
14169,475,100	// F_Blessing_10_Scroll_Box
14170,475,100	// F_Inc_Agi_10_Scroll_Box
14171,475,100	// F_Aspersio_5_Scroll_Box
14172,475,100	// F_Assumptio_5_Scroll_Box
14173,475,100	// F_Wind_Walk_10_Scroll_Box
14174,475,100	// F_Adrenaline_Scroll_Box
14175,475,100	// F_Megaphone_Box
14176,475,100	// F_Enriched_Elunium_Box
14177,475,100	// F_Enriched_Oridecon_Box
14178,475,100	// F_Token_Of_Siegfried_Box
14179,475,100	// F_Giant_Fly_Wing_Box50
14180,475,100	// F_Giant_Fly_Wing_Box100
14181,475,100	// F_Dex_Dish_Box30
14182,475,100	// F_Dex_Dish_Box50
14183,475,100	// F_Luk_Dish_Box30
14184,475,100	// F_Luk_Dish_Box50
14185,475,100	// F_Inc_Agi_10_Box30
14186,475,100	// F_Inc_Agi_10_Box50
14187,475,100	// F_Vit_Dish_Box30
14188,475,100	// F_Vit_Dish_Box50
14189,475,100	// F_Insurance_Package30
14190,475,100	// F_Insurance_Package50
14191,475,100	// F_Convex_Mirror_Box5
14192,475,100	// F_Convex_Mirror_Box30
14193,475,100	// F_Blessing10_Box30
14194,475,100	// F_Blessing10_Box50
14195,475,100	// F_Adrenaline10_Box30
14196,475,100	// F_Adrenaline10_Box50
14197,475,100	// F_Assumptio_5_Box30
14198,475,100	// F_Assumptio_5_Box50
14199,475,100	// F_Aspersio_5_Box30
14200,475,100	// F_Aspersio_5_Box50
14201,475,100	// F_Agi_Dish_Box30
14202,475,100	// F_Agi_Dish_Box50
14203,475,100	// F_Wind_Walk10_Box30
14204,475,100	// F_Wind_Walk10_Box50
14205,475,100	// F_Int_Dish_Box30
14206,475,100	// F_Int_Dish_Box50
14207,475,100	// F_Battle_Manual_Box1
14208,475,100	// F_Battle_Manual_Box5
14209,475,100	// F_Siegfried_Box5
14210,475,100	// F_Siegfried_Box20
14211,475,100	// F_Kafra_Card_Box30
14212,475,100	// F_Kafra_Card_Box50
14213,475,100	// F_Str_Dish_Box30
14214,475,100	// F_Str_Dish_Box50
14215,475,100	// F_Bubble_Gum_Box1
14216,475,100	// F_Bubble_Gum_Box5
14217,475,100	// F_Megaphone_Box1
14218,475,100	// F_Megaphone_Box5
14219,475,100	// F_Enriched_Elunium_Box5
14220,475,100	// FEnriched_Oridecon_Box5
14221,475,100	// MP_Scroll_Box
14222,475,100	// MP_Scroll_Box30
14223,475,100	// MP_Scroll_Box50
14224,475,100	// Quagmire_Scroll_Box
14225,475,100	// Quagmire_Scroll_Box30
14226,475,100	// Quagmire_Scroll_Box50
14227,475,100	// Healing_Staff_Box
14234,73,100	// Dead_Tree_Branch_Box2
14242,73,100	// Beholder_Ring_Box
14243,73,100	// Hallow_Ring_Box
14244,73,100	// Clamorous_Ring_Box
14245,73,100	// Chemical_Ring_Box
14246,73,100	// Insecticide_Ring_Box
14247,73,100	// Fisher_Ring_Box
14248,73,100	// Decussate_Ring_Box
14249,73,100	// Bloody_Ring_Box
14250,73,100	// Satanic_Ring_Box
14251,73,100	// Dragoon_Ring_Box
14252,73,100	// Beholder_Ring_Box2
14253,73,100	// Hallow_Ring_Box2
14254,73,100	// Clamorous_Ring_Box2
14255,73,100	// Chemical_Ring_Box2
14256,73,100	// Insecticide_Ring_Box2
14257,73,100	// Fisher_Ring_Box2
14258,73,100	// Decussate_Ring_Box2
14259,73,100	// Bloody_Ring_Box2
14260,73,100	// Satanic_Ring_Box2
14261,73,100	// Dragoon_Ring_Box2
14289,475,100	// Cloth_Dye_Coupon_Box
14290,475,100	// Cloth_Dye_Coupon2_Box
14296,73,100	// Angel_Scroll
14297,73,100	// Devil_Scroll
14300,73,100	// Mask_Of_Ifrit_Box
14301,73,100	// Ifrit's_Ear_Box
14304,73,100	// Scuba_Mask_Box
14314,475,100	// Phreeoni_Scroll_Box
14315,475,100	// GhostringS_Box
14316,73,100	// July7_Scroll
14317,457,100	// Bacsojin_Scroll
14343,475,100	// Spiked_Scarf_Box
14344,475,100	// Rainbow_Scarf_Box
14345,457,100	// Animal_Scroll
14349,73,100	// Mental_Potion20_Box
14350,73,100	// Mental_Potion50_Box
14351,73,100	// Tyr's_Blessing20_Box
14352,73,100	// Tyr's_Blessing50_Box
14363,73,100	// Heart_Scroll
14375,457,100	// Holy_Celestial_Axe_Box
14376,475,100	// Angeling_Pot_Box
14377,457,100	// Shout_Megaphone_Box
14380,457,100	// Anubis_Helm_Box
14393,73,100	// Almighty_Charm_Box
14408,73,100	// New_Year_Scroll
14440,457,100	// Dice_Hat_Box
14441,457,100	// King_Tiger_Doll_Hat_Box
14447,457,100	// Pirate's_Pride_Box
14448,457,100	// Necromencer's_Hood_Box
14459,475,100	// Rabbit_Magic_Hat_Box
14460,475,100	// China_Wedding_Veil_Box
14461,475,100	// Asara_Fairy_Hat_Box
14469,457,100	// Ox_Tail_Scroll
14508,73,100	// Zeny_Scroll
14521,475,100	// Repair_Scroll
14527,475,100	// Dun_Tele_Scroll1
14533,475,100	// Battle_Manual100
14534,475,100	// Small_Life_Potion
14535,475,100	// Med_Life_Potion
14536,475,100	// Abrasive
14537,475,100	// Regeneration_Potion
14538,475,100	// Glass_Of_Illusion
14539,475,100	// Shadow_Armor_S
14540,475,100	// Holy_Armor_S
14541,475,100	// S_Def_Potion
14542,475,100	// B_Def_Potion
14543,475,100	// S_Mdef_Potion
14544,475,100	// B_Mdef_Potion
14569,475,100	// Knife_Goblin_Ring
14570,475,100	// Flail_Goblin_Ring
14571,475,100	// Hammer_Goblin_Ring
14572,475,100	// Holy_Marble
14573,475,100	// Red_Burning_Stone
14574,475,100	// Skull_Of_Vagabond
14586,73,100	// Spark_Candy
14587,475,100	// Repair_Scroll_
14588,75,100	// Pty_Blessing_Scroll
14589,75,100	// Pty_Inc_Agi_Scroll
14590,75,100	// Pty_Assumptio_Scroll
14591,475,100	// Siege_Teleport_Scroll
14592,475,100	// Job_Manual50
14593,475,100	// Magic_Power_Scroll
14594,475,100	// Quagmire_Scroll
14597,475,100	// PhreeoniS
14598,475,100	// GhostringS
14599,475,100	// Greed_Scroll_C
14600,73,100	// Mental_Potion
14601,73,100	// Tyr's_Blessing
14602,475,100	// TaogunkaS
14603,475,100	// MistressS
14604,475,100	// Orc_HeroS
14605,475,100	// Orc_LoadS
14606,475,100	// Job_Manual25
14608,73,100	// Luxurious_Dinner_E
15015,461,100	// Upg_Adv_Suit
15016,461,100	// Upg_Coat
15017,461,100	// Upg_Saint_Robe
15018,460,100	// Upg_Tights
15019,461,100	// Upg_Thief_Cloth
15020,461,100	// Upg_Mail
15021,461,100	// Upg_Formal_Dress
16002,507,100	// Stunner_C
16019,461,100	// Upg_Mace
16134,475,100	// King_Frog_Hat_Box
16135,457,100	// Evil's_Bone_Hat_Box
16247,475,100	// Dragon_Arhat_Mask_Box
16248,475,100	// Tiger_Arhat_Mask_Box
16257,73,100	// Buddah_Scroll
16258,457,100	// HD_Bradium_Box5
16259,457,100	// HD_Carnium_Box5
16260,457,100	// HD_Bradium_Box10
16261,457,100	// HD_Carnium_Box10
16304,475,100	// Evil_Incarnation_Disable
16371,73,100	// Tw_Aug_Scroll
16393,457,100	// HD_Ori_Box5
16394,457,100	// HD_Ori_Box10
16395,457,100	// HD_Elu_Box5
16396,457,100	// HD_Elu_Box10
16461,73,100	// Red_Wing_Hat_Box
16555,73,100	// Pr_Reset_Stone_Box

// Misc. Items
1313,499,100	// Tourist_Axe
1386,507,100	// Doom_Slayer_I
1388,507,100	// Two_Handed_Axe_C
1428,475,100	// Long_Horn_M
1429,475,100	// Hunting_Spear_M
1579,475,100	// Death_Note_M
1644,475,100	// Piercing_Staff_M
1645,475,100	// Lich_Bone_Wand_M
1928,507,100	// Berserk_Guitar_I
2003,475,100	// Destruction_Rod_M
2398,475,100	// Sniping_Suit_M
2449,475,100	// Variant_Shoes_M
2551,475,100	// Rider_Insignia_M
2552,475,100	// Mithril_Magic_Cape_M
2777,65,100	// Shaman_Ring
2778,65,100	// Shaman_Earing
2779,65,100	// Dark_Knight_Belt
2780,65,100	// Dark_Knight_Glove
2781,65,100	// Aumdura's_Grace
2782,475,100	// Ring_Of_Wise_King
2785,475,100	// Orleans_Glove_M
5100,73,100	// Sales_Signboard
5103,73,100	// Sunflower_Hairpin
5133,73,100	// Sheep_Hat
5206,73,100	// Romantic_White_Flower
5215,73,100	// Angelic_Chain_
5216,73,100	// Satanic_Chain_
5217,73,100	// Magestic_Goat_TW
5218,73,100	// Bunny_Band_
5219,73,100	// Drooping_Kitty_
5220,73,100	// Smoking_Pipe_
